Adj Close,Close,High,Low,Open,Volume
3.1514296531677246,3.177000045776367,3.249500036239624,3.111500024795532,3.16225004196167,97884000.0
3.1739962100982666,3.1997499465942383,3.309499979019165,3.112499952316284,3.2235000133514404,138864000.0
3.2131781578063965,3.2392499446868896,3.3285000324249268,3.129499912261963,3.2660000324249268,141556000.0
3.2528555393218994,3.279249906539917,3.378999948501587,3.1922500133514404,3.2734999656677246,146276000.0
3.263519525527954,3.2899999618530273,3.4177498817443848,3.2114999294281006,3.274749994277954,146443000.0
3.3007185459136963,3.327500104904175,3.4347500801086426,3.242500066757202,3.299999952316284,151258000.0
3.3106377124786377,3.3375000953674316,3.4367499351501465,3.2512500286102295,3.344749927520752,151652000.0
3.314357280731201,3.341249942779541,3.4375,3.2577500343322754,3.3515000343322754,156033000.0
3.324790954589844,3.3445000648498535,3.4432499408721924,3.2750000953674316,3.3667500019073486,161473000.0
3.350315570831299,3.377500057220459,3.4492499828338623,3.27524995803833,3.384999990463257,162134000.0
3.3665432929992676,3.3864998817443848,3.452500104904175,3.2864999771118164,3.397749900817871,163388000.0
3.3773462772369385,3.404750108718872,3.461999893188477,3.30649995803833,3.403749942779541,163980000.0
3.378089666366577,3.4054999351501465,3.4962499141693115,3.315000057220459,3.404249906539917,164572000.0
3.407104730606079,3.4347500801086426,3.5409998893737793,3.3172500133514404,3.4089999198913574,166538000.0
3.4224798679351807,3.4502499103546143,3.543750047683716,3.332750082015991,3.413749933242798,167276000.0
3.434878349304199,3.46274995803833,3.5450000762939453,3.3847498893737793,3.428499937057495,167934000.0
3.4572553634643555,3.477750062942505,3.570499897003174,3.3867499828338623,3.43149995803833,169152000.0
3.467613935470581,3.4957499504089355,3.580250024795532,3.4094998836517334,3.4542500972747803,170372000.0
3.4838478565216064,3.508500099182129,3.6122500896453857,3.410749912261963,3.4625000953674316,173196000.0
3.511186122894287,3.5320000648498535,3.619250059127808,3.410749912261963,3.5077500343322754,173911000.0
3.5358104705810547,3.564500093460083,3.6222500801086426,3.422499895095825,3.535249948501587,178497000.0
3.5539329051971436,3.575000047683716,3.62975001335144,3.4392499923706055,3.536250114440918,179144000.0
3.556145191192627,3.583250045776367,3.6372499465942383,3.4735000133514404,3.5450000762939453,179238000.0
3.558073043823242,3.5850000381469727,3.63949990272522,3.4839999675750732,3.547499895095825,180652000.0
3.5606088638305664,3.5894999504089355,3.654750108718872,3.495500087738037,3.582750082015991,182852000.0
3.564824342727661,3.59375,3.663000106811523,3.496500015258789,3.600500106811523,183063000.0
3.573317289352417,3.5945000648498535,3.66950011253357,3.5309998989105225,3.60824990272522,183497000.0
3.584796905517578,3.615999937057495,3.669749975204468,3.533750057220459,3.612499952316284,184884000.0
3.585044860839844,3.617500066757202,3.671999931335449,3.564500093460083,3.6127500534057617,185580000.0
3.5891273021698,3.6177499294281006,3.679500102996826,3.5697500705718994,3.6142499446868896,185925000.0
3.592228889465332,3.618249893188477,3.69350004196167,3.571000099182129,3.6177499294281006,186184000.0
3.5946905612945557,3.625,3.703749895095825,3.580250024795532,3.63100004196167,186256000.0
3.6015264987945557,3.6257500648498535,3.714499950408935,3.581249952316284,3.6337499618530273,187590000.0
3.6032521724700928,3.628750085830689,3.714999914169311,3.581249952316284,3.6342499256134033,187834000.0
3.6043834686279297,3.630749940872192,3.724999904632568,3.590250015258789,3.63949990272522,189100000.0
3.6160638332366943,3.637500047683716,3.731250047683716,3.591249942779541,3.6414999961853023,189494000.0
3.6317813396453857,3.6549999713897705,3.737499952316284,3.603250026702881,3.6449999809265137,189752000.0
3.6317813396453857,3.661250114440918,3.7397499084472656,3.606250047683716,3.6465001106262207,190781000.0
3.633460998535156,3.661250114440918,3.7422499656677246,3.611999988555908,3.649250030517578,191744000.0
3.643933057785034,3.673500061035156,3.743750095367432,3.612499952316284,3.659749984741211,192424000.0
3.655836582183838,3.683000087738037,3.7582499980926514,3.6157500743865967,3.667249917984009,193016000.0
3.657121419906616,3.685499906539917,3.7647500038146977,3.619999885559082,3.6679999828338623,193380000.0
3.660548448562622,3.6902499198913574,3.7669999599456783,3.620500087738037,3.6772499084472656,195172000.0
3.67443585395813,3.70425009727478,3.776750087738037,3.621999979019165,3.6802499294281006,195672000.0
3.674931287765503,3.704750061035156,3.779750108718872,3.6227500438690186,3.6875,196856000.0
3.6846578121185303,3.7065000534057617,3.7804999351501465,3.625,3.6877501010894775,197036000.0
3.688882350921631,3.710750102996826,3.785749912261963,3.637500047683716,3.694000005722046,197772000.0
3.689314603805542,3.719249963760376,3.786499977111816,3.6397500038146977,3.700000047683716,197796000.0
3.690802574157715,3.719249963760376,3.78725004196167,3.640500068664551,3.70199990272522,198107000.0
3.69105076789856,3.720750093460083,3.790750026702881,3.641249895095825,3.7105000019073486,198209000.0
3.6922900676727295,3.7209999561309814,3.7950000762939458,3.642250061035156,3.724999904632568,199520000.0
3.692538261413574,3.722249984741211,3.807499885559082,3.64424991607666,3.741499900817871,199755000.0
3.6933069229125977,3.722500085830689,3.809000015258789,3.6594998836517334,3.7422499656677246,200040000.0
3.69733214378357,3.7269999980926514,3.819499969482422,3.660249948501587,3.7472500801086426,200204000.0
3.699481964111328,3.7295000553131104,3.821500062942505,3.6640000343322754,3.747499942779541,201340000.0
3.7022109031677246,3.7314999103546143,3.8237500190734863,3.676500082015991,3.7697501182556152,201767000.0
3.7052805423736577,3.732249975204468,3.833250045776367,3.6847500801086426,3.770750045776367,201912000.0
3.7165935039520264,3.7467501163482666,3.833750009536743,3.684999942779541,3.7709999084472656,202191000.0
