Date,High,Guess High
2018-01-02,3.249500036239624,2.5413294
2018-01-03,3.309499979019165,2.701219
2018-01-04,3.3285000324249268,2.7153597
2018-01-05,3.378999948501587,2.7423632
2018-01-08,3.4177498817443848,2.7435138
2018-01-09,3.4347500801086426,2.772689
2018-01-10,3.4367499351501465,2.7745004
2018-01-11,3.4375,2.803075
2018-01-12,3.4432499408721924,2.8395617
2018-01-16,3.4492499828338623,2.8446827
2018-01-17,3.452500104904175,2.8528395
2018-01-18,3.461999893188477,2.8566668
2018-01-19,3.4962499141693115,2.8608677
2018-01-22,3.5409998893737793,2.8753154
2018-01-23,3.543750047683716,2.8801334
2018-01-24,3.5450000762939453,2.8831007
2018-01-25,3.570499897003174,2.8926857
2018-01-26,3.580250024795532,2.9015377
2018-01-29,3.6122500896453857,2.9241076
2018-01-30,3.619250059127808,2.9294136
2018-01-31,3.6222500801086426,2.9672596
2018-02-01,3.62975001335144,2.9724138
2018-02-02,3.6372499465942383,2.9719613
2018-02-05,3.63949990272522,2.983555
2018-02-06,3.654750108718872,3.001959
2018-02-07,3.663000106811523,3.0035694
2018-02-08,3.66950011253357,3.0058904
2018-02-09,3.669749975204468,3.0186303
2018-02-12,3.671999931335449,3.0235846
2018-02-13,3.679500102996826,3.026469
2018-02-14,3.69350004196167,3.0287855
2018-02-15,3.703749895095825,3.0290432
2018-02-16,3.714499950408935,3.040861
2018-02-20,3.714999914169311,3.0431073
2018-02-21,3.724999904632568,3.0539665
2018-02-22,3.731250047683716,3.0576437
2018-02-23,3.737499952316284,3.0599806
2018-02-26,3.7397499084472656,3.0691402
2018-02-27,3.7422499656677246,3.077372
2018-02-28,3.743750095367432,3.0835145
2018-03-01,3.7582499980926514,3.0888908
2018-03-02,3.7647500038146977,3.0920646
2018-03-05,3.7669999599456783,3.1078281
2018-03-06,3.776750087738037,3.1126702
2018-03-07,3.779750108718872,3.12297
2018-03-08,3.7804999351501465,3.1245272
2018-03-09,3.785749912261963,3.130557
2018-03-12,3.786499977111816,3.1308124
2018-03-13,3.78725004196167,3.1334884
2018-03-14,3.790750026702881,3.1342347
2018-03-15,3.7950000762939458,3.1456292
2018-03-16,3.807499885559082,3.1475194
2018-03-19,3.809000015258789,3.1494484
2018-03-20,3.819499969482422,3.1510675
2018-03-21,3.821500062942505,3.1613324
2018-03-22,3.8237500190734863,3.1643076
2018-03-23,3.833250045776367,3.1653678
2018-03-26,3.833750009536743,3.16838
2018-03-27,3.8345000743865967,3.1688497
2018-03-28,3.836750030517578,3.1846802
2018-03-29,3.846250057220459,3.1852891
2018-04-02,3.846250057220459,3.1887703
2018-04-03,3.8545000553131104,3.1915915
2018-04-04,3.8564999103546143,3.1922984
2018-04-05,3.859250068664551,3.199939
2018-04-06,3.8637499809265137,3.2013113
2018-04-09,3.864500045776367,3.2053144
2018-04-10,3.86899995803833,3.207918
2018-04-11,3.869250059127808,3.2210217
2018-04-12,3.8777499198913574,3.223348
2018-04-13,3.882499933242798,3.2274783
2018-04-16,3.88700008392334,3.228637
2018-04-17,3.890000104904175,3.2377288
2018-04-18,3.890749931335449,3.2392898
2018-04-19,3.89175009727478,3.2428238
2018-04-20,3.8924999237060542,3.2460372
2018-04-23,3.895750045776367,3.2544117
2018-04-24,3.8970000743865967,3.2583516
2018-04-25,3.897249937057495,3.2600543
2018-04-26,3.8975000381469727,3.2648141
2018-04-27,3.9045000076293945,3.2726948
2018-04-30,3.912499904632568,3.289694
2018-05-01,3.918750047683716,3.2909005
2018-05-02,3.9252500534057617,3.292023
2018-05-03,3.933249950408935,3.295286
2018-05-04,3.9397499561309814,3.3056579
2018-05-07,3.947499990463257,3.3065007
2018-05-08,3.94950008392334,3.3173878
2018-05-09,3.951499938964844,3.3198287
2018-05-10,3.953749895095825,3.3218055
2018-05-11,3.957750082015991,3.3223827
2018-05-14,3.9609999656677246,3.3242397
2018-05-15,3.962249994277954,3.3264287
2018-05-16,3.963749885559082,3.3288858
2018-05-17,3.964750051498413,3.3327487
2018-05-18,3.971750020980835,3.3334448
2018-05-21,3.973000049591065,3.3337219
2018-05-22,3.9972500801086426,3.3462863
2018-05-23,3.9987499713897705,3.351179
2018-05-24,4.00124979019165,3.354152
2018-05-25,4.006999969482422,3.360554
2018-05-29,4.014500141143799,3.3714314
2018-05-30,4.019000053405762,3.37202
2018-05-31,4.021999835968018,3.3755643
2018-06-01,4.026249885559082,3.377559
2018-06-04,4.031499862670898,3.379698
2018-06-05,4.037499904632568,3.38335
2018-06-06,4.03849983215332,3.3837874
2018-06-07,4.043000221252441,3.3855937
2018-06-08,4.045499801635742,3.3950193
2018-06-11,4.047749996185303,3.403866
2018-06-12,4.051499843597412,3.4092553
2018-06-13,4.0592498779296875,3.4189022
2018-06-14,4.083499908447266,3.4232788
2018-06-15,4.085000038146973,3.427908
2018-06-18,4.08650016784668,3.433676
2018-06-19,4.092750072479248,3.435631
2018-06-20,4.096499919891357,3.4424207
2018-06-21,4.096749782562256,3.4523208
2018-06-22,4.0995001792907715,3.4533966
2018-06-25,4.099999904632568,3.4640386
2018-06-26,4.109749794006348,3.47351
2018-06-27,4.110750198364258,3.4774065
2018-06-28,4.131999969482422,3.4773297
2018-06-29,4.134250164031982,3.482567
2018-07-02,4.147749900817871,3.483176
2018-07-03,4.158750057220459,3.4841607
2018-07-05,4.1645002365112305,3.4869125
2018-07-06,4.177499771118164,3.5029569
2018-07-09,4.197999954223633,3.504763
2018-07-10,4.204249858856201,3.5060542
2018-07-11,4.207499980926514,3.5065165
