,predicted range
459,0.2721089999999995
460,0.27221859999999953
461,0.27287199999999956
462,0.2759815999999997
463,0.27875280000000036
464,0.2789964000000005
465,0.27985669999999985
466,0.28155460000000065
467,0.28183060000000015
468,0.28256700000000023
469,0.28227840000000004
470,0.2810813999999997
471,0.27781630000000046
472,0.27597249999999995
473,0.2750254999999999
474,0.2759279999999995
475,0.27562270000000044
476,0.2753534000000002
477,0.2708687999999997
478,0.26940039999999943
479,0.26549840000000025
480,0.26147780000000065
481,0.2602289999999998
482,0.2564970000000004
483,0.2553542999999996
484,0.2553871999999995
485,0.24812030000000007
486,0.2474546000000002
487,0.24099740000000036
488,0.2416773000000001
489,0.2404389
490,0.24140160000000055
491,0.23395670000000024
492,0.23034149999999975
493,0.22978919999999992
494,0.22677700000000023
495,0.22666900000000023
496,0.2272685000000001
497,0.22813459999999974
498,0.2253273
499,0.2317152
500,0.2262133999999998
501,0.22590209999999988
502,0.22546999999999962
503,0.22519059999999946
504,0.22545070000000056
505,0.22289980000000043
506,0.2209253000000002
507,0.21706870000000045
508,0.2161723999999996
509,0.21607299999999974
510,0.21508099999999963
511,0.20837210000000006
512,0.2050257000000002
513,0.20460049999999974
514,0.20197649999999978
515,0.2082303000000003
516,0.19703499999999963
517,0.19012130000000038
518,0.18945170000000022
519,0.18704000000000054
520,0.18480380000000007
521,0.18227749999999965
522,0.1754970999999994
523,0.17312100000000008
524,0.1709594000000001
525,0.16890159999999987
526,0.1663249999999996
527,0.16709740000000028
528,0.16492729999999955
529,0.1597300000000006
530,0.15596869999999985
531,0.15096470000000028
532,0.14241510000000002
533,0.13806779999999996
534,0.13754760000000044
535,0.13530669999999922
536,0.1329773999999997
537,0.13191419999999976
538,0.12838059999999984
539,0.12305030000000006
540,0.12315369999999959
541,0.11713530000000016
542,0.11273300000000042
543,0.11245700000000003
544,0.1125045999999994
545,0.10768160000000027
546,0.10373799999999989
547,0.10002660000000052
548,0.09765770000000007
549,0.09527829999999948
550,0.08984670000000072
551,0.08128569999999957
552,0.07845630000000003
553,0.07869439999999983
554,0.06953429999999994
555,0.07370849999999951
556,0.07422370000000011
557,0.07086740000000002
558,0.07689480000000071
559,0.07450430000000008
560,0.06842259999999989
561,0.06795880000000043
562,0.07645500000000016
563,0.07325870000000023
564,0.07255840000000013
565,0.08005900000000032
566,0.08069900000000008
567,0.07537399999999916
568,0.060447700000000104
569,0.05602900000000055
570,0.062074299999999916
571,0.06302830000000004
572,0.04982569999999953
573,0.04986829999999998
574,0.058941399999999255
575,0.05565199999999937
576,0.05397699999999972
577,0.05577780000000043
578,0.03841459999999941
579,0.036667600000000355
580,0.024315299999999596
581,0.024855999999999767
582,0.015020299999999764
583,0.01592799999999972
584,0.020317999999999614
585,0.006500299999999903
586,0.0004100999999998578
587,-0.0028234999999998678
588,0.023950600000000044
589,0.012141199999999408
590,0.01725140000000014
591,0.01639199999999974
592,-0.02249069999999964
593,-0.022171999999999414
594,0.013923499999999756
595,0.0010570000000003077
596,0.059555600000000375
597,0.03417300000000001
598,0.008064000000000071
599,0.046586399999999806
600,0.05275490000000005
601,0.05278399999999994
602,0.05185890000000004
603,0.04432870000000033
604,0.04334400000000027
605,0.03837679999999999
606,0.02579330000000013
607,0.015642500000000226
608,0.015671399999999558
609,0.02025430000000039
610,0.031808800000000303
611,0.03574769999999994
612,0.030775499999999845
613,0.04504959999999958
614,0.047703999999999525
615,0.04837500000000006
616,0.058167499999999706
617,0.05828299999999942
618,0.055127999999999844
619,0.05555500000000002
620,0.02426999999999957
621,0.0030300000000007543
622,0.00833699999999915
623,0.03517300000000034
624,0.04977099999999979
625,0.05752500000000005
626,0.05058000000000007
627,0.04679799999999901
628,0.03336099999999931
629,0.035369000000001094
630,0.053314000000000306
631,0.030306000000001276
632,0.04808599999999963
633,0.05862799999999879
634,0.0541980000000013
635,0.0400709999999993
636,0.04490900000000053
637,0.040625000000000355
638,0.028128000000000597
639,0.028528999999998916
640,0.03358799999999995
641,0.03942999999999941
642,0.04072500000000012
643,0.040459999999999496
644,0.04577300000000051
645,0.04135100000000058
646,0.03765400000000163
647,0.022088000000000108
648,0.01601750000000024
649,0.0006859999999999644
650,-0.013036999999998855
651,0.02956700000000012
652,0.04453700000000005
653,0.020369999999999777
654,0.023506000000001137
655,0.02362450000000038
656,0.024050000000000793
657,0.026178500000000327
658,-9.799999999948739e-05
659,0.0006769999999995946
660,0.008903999999999357
661,-0.012748999999999455
662,-0.035970999999999975
663,-0.06702150000000096
664,-0.05040699999999987
665,0.006681000000000381
666,-0.037665999999999755
