Date,Adj Close,Guess Adj Close
2018-01-02,3.1514296531677246,2.850799
2018-01-03,3.1739962100982666,3.0602112
2018-01-04,3.2131781578063965,3.0777178
2018-01-05,3.2528555393218994,3.1082911
2018-01-08,3.263519525527954,3.1088707
2018-01-09,3.3007185459136963,3.140984
2018-01-10,3.3106377124786377,3.1437612
2018-01-11,3.314357280731201,3.173595
2018-01-12,3.324790954589844,3.2131698
2018-01-16,3.350315570831299,3.2181656
2018-01-17,3.3665432929992676,3.22788
2018-01-18,3.3773462772369385,3.2319827
2018-01-19,3.378089666366577,3.2363675
2018-01-22,3.407104730606079,3.2514458
2018-01-23,3.4224798679351807,3.2568433
2018-01-24,3.434878349304199,3.2610025
2018-01-25,3.4572553634643555,3.2703767
2018-01-26,3.467613935470581,3.2799003
2018-01-29,3.4838478565216064,3.3060455
2018-01-30,3.511186122894287,3.3127275
2018-01-31,3.5358104705810547,3.355207
2018-02-01,3.5539329051971436,3.3610384
2018-02-02,3.556145191192627,3.3612409
2018-02-05,3.558073043823242,3.3748538
2018-02-06,3.5606088638305664,3.3960843
2018-02-07,3.564824342727661,3.3980646
2018-02-08,3.573317289352417,3.4016685
2018-02-09,3.584796905517578,3.4149742
2018-02-12,3.585044860839844,3.4212127
2018-02-13,3.5891273021698,3.4245338
2018-02-14,3.592228889465332,3.4269974
2018-02-15,3.5946905612945557,3.4274704
2018-02-16,3.6015264987945557,3.441127
2018-02-20,3.6032521724700928,3.4436326
2018-02-21,3.6043834686279297,3.4565606
2018-02-22,3.6160638332366943,3.4605298
2018-02-23,3.6317813396453857,3.462854
2018-02-26,3.6317813396453857,3.473465
2018-02-27,3.633460998535156,3.48346
2018-02-28,3.643933057785034,3.490388
2018-03-01,3.655836582183838,3.4964442
2018-03-02,3.657121419906616,3.500225
2018-03-05,3.660548448562622,3.5191903
2018-03-06,3.67443585395813,3.5242455
2018-03-07,3.674931287765503,3.5368013
2018-03-08,3.6846578121185303,3.5386772
2018-03-09,3.688882350921631,3.546354
2018-03-12,3.689314603805542,3.546467
2018-03-13,3.690802574157715,3.5497646
2018-03-14,3.69105076789856,3.5507932
2018-03-15,3.6922900676727295,3.5646849
2018-03-16,3.692538261413574,3.5670633
2018-03-19,3.6933069229125977,3.5700173
2018-03-20,3.69733214378357,3.5716286
2018-03-21,3.699481964111328,3.5836487
2018-03-22,3.7022109031677246,3.5880647
2018-03-23,3.7052805423736577,3.5895057
2018-03-26,3.7165935039520264,3.5922647
2018-03-27,3.7185773849487305,3.5927896
2018-03-28,3.7296409606933594,3.610473
2018-03-29,3.730729103088379,3.6106033
2018-04-02,3.7395384311676025,3.6140943
2018-04-03,3.746540784835815,3.6172185
2018-04-04,3.7475345134735103,3.6182566
2018-04-05,3.748831272125244,3.6255069
2018-04-06,3.7624707221984863,3.6268766
2018-04-09,3.763937473297119,3.6314206
2018-04-10,3.76468276977539,3.6341338
2018-04-11,3.7659428119659424,3.648421
2018-04-12,3.7670934200286865,3.6512403
2018-04-13,3.771641731262207,3.656317
2018-04-16,3.774540901184082,3.657423
2018-04-17,3.778264284133911,3.6679633
2018-04-18,3.786304712295532,3.6696663
2018-04-19,3.7912380695343018,3.673273
2018-04-20,3.791660070419311,3.6766357
2018-04-23,3.79400897026062,3.6865268
2018-04-24,3.794213771820069,3.6906822
2018-04-25,3.799476623535156,3.692929
2018-04-26,3.805442571640014,3.6981091
2018-04-27,3.80850601196289,3.705845
2018-04-30,3.824577569961548,3.7245903
2018-05-01,3.829401969909668,3.725751
2018-05-02,3.82979679107666,3.7272744
2018-05-03,3.8317854404449463,3.7311535
2018-05-04,3.832155227661133,3.7424803
2018-05-07,3.84926176071167,3.7426543
2018-05-08,3.8539791107177734,3.7543912
2018-05-09,3.862906455993652,3.756826
2018-05-10,3.8782589435577393,3.7596068
2018-05-11,3.883768081665039,3.7596862
2018-05-14,3.884481191635132,3.762457
2018-05-15,3.885505437850952,3.7652504
2018-05-16,3.8857533931732178,3.7686212
2018-05-17,3.891672611236572,3.7734435
2018-05-18,3.8919601440429688,3.7744362
2018-05-21,3.895888566970825,3.77463
2018-05-22,3.8961360454559326,3.790393
2018-05-23,3.901840686798096,3.7974408
2018-05-24,3.902336359024048,3.8012836
2018-05-25,3.9070887565612793,3.8087955
2018-05-29,3.909574031829834,3.8217363
