Date,Close,Guess Close
2018-01-02,3.177000045776367,2.9266398
2018-01-03,3.1997499465942383,3.0682347
2018-01-04,3.2392499446868896,3.0800786
2018-01-05,3.279249906539917,3.100803
2018-01-08,3.2899999618530273,3.1016686
2018-01-09,3.327500104904175,3.1229322
2018-01-10,3.3375000953674316,3.1246383
2018-01-11,3.341249942779541,3.1443312
2018-01-12,3.3445000648498535,3.1687405
2018-01-16,3.377500057220459,3.1717875
2018-01-17,3.3864998817443848,3.1776366
2018-01-18,3.404750108718872,3.1801975
2018-01-19,3.4054999351501465,3.183346
2018-01-22,3.4347500801086426,3.1933734
2018-01-23,3.4502499103546143,3.1968756
2018-01-24,3.46274995803833,3.1994803
2018-01-25,3.477750062942505,3.2058609
2018-01-26,3.4957499504089355,3.2118714
2018-01-29,3.508500099182129,3.226556
2018-01-30,3.5320000648498535,3.2304027
2018-01-31,3.564500093460083,3.2536092
2018-02-01,3.575000047683716,3.2566836
2018-02-02,3.583250045776367,3.2567344
2018-02-05,3.5850000381469727,3.2638104
2018-02-06,3.5894999504089355,3.2751822
2018-02-07,3.59375,3.2764056
2018-02-08,3.5945000648498535,3.2782085
2018-02-09,3.615999937057495,3.2851477
2018-02-12,3.617500066757202,3.2882512
2018-02-13,3.6177499294281006,3.2900693
2018-02-14,3.618249893188477,3.2917078
2018-02-15,3.625,3.2921543
2018-02-16,3.6257500648498535,3.3000581
2018-02-20,3.628750085830689,3.3014631
2018-02-21,3.630749940872192,3.3088925
2018-02-22,3.637500047683716,3.3111837
2018-02-23,3.6549999713897705,3.3124697
2018-02-26,3.661250114440918,3.3184316
2018-02-27,3.661250114440918,3.3240592
2018-02-28,3.673500061035156,3.3280013
2018-03-01,3.683000087738037,3.3315103
2018-03-02,3.685499906539917,3.3336325
2018-03-05,3.6902499198913574,3.344165
2018-03-06,3.70425009727478,3.3470304
2018-03-07,3.704750061035156,3.3540347
2018-03-08,3.7065000534057617,3.3550568
2018-03-09,3.710750102996826,3.3592942
2018-03-12,3.719249963760376,3.3593752
2018-03-13,3.719249963760376,3.3612115
2018-03-14,3.720750093460083,3.3618805
2018-03-15,3.7209999561309814,3.3701503
2018-03-16,3.722249984741211,3.3718553
2018-03-19,3.722500085830689,3.3735616
2018-03-20,3.7269999980926514,3.3746872
2018-03-21,3.7295000553131104,3.3819485
