Date,Low,Guess Low
2018-01-02,3.111500024795532,2.8152268
2018-01-03,3.112499952316284,2.9509218
2018-01-04,3.129499912261963,2.9620488
2018-01-05,3.1922500133514404,2.9801
2018-01-08,3.2114999294281006,2.98023
2018-01-09,3.242500066757202,2.9995837
2018-01-10,3.2512500286102295,3.0014305
2018-01-11,3.2577500343322754,3.0195792
2018-01-12,3.2750000953674316,3.043847
2018-01-16,3.27524995803833,3.0471961
2018-01-17,3.2864999771118164,3.0527852
2018-01-18,3.30649995803833,3.055456
2018-01-19,3.315000057220459,3.0580423
2018-01-22,3.3172500133514404,3.0679896
2018-01-23,3.332750082015991,3.0715826
2018-01-24,3.3847498893737793,3.0742285
2018-01-25,3.3867499828338623,3.0803678
2018-01-26,3.4094998836517334,3.0864003
2018-01-29,3.410749912261963,3.1006448
2018-01-30,3.410749912261963,3.1047318
2018-01-31,3.422499895095825,3.1280622
2018-02-01,3.4392499923706055,3.1310966
2018-02-02,3.4735000133514404,3.1310992
2018-02-05,3.4839999675750732,3.1380713
2018-02-06,3.495500087738037,3.1492121
2018-02-07,3.496500015258789,3.1503956
2018-02-08,3.5309998989105225,3.1520512
2018-02-09,3.533750057220459,3.159171
2018-02-12,3.564500093460083,3.162171
2018-02-13,3.5697500705718994,3.1638086
2018-02-14,3.571000099182129,3.1650746
2018-02-15,3.580250024795532,3.165396
2018-02-16,3.581249952316284,3.1720884
2018-02-20,3.581249952316284,3.1733403
2018-02-21,3.590250015258789,3.1795878
2018-02-22,3.591249942779541,3.1815956
2018-02-23,3.603250026702881,3.182821
2018-02-26,3.606250047683716,3.1883802
2018-02-27,3.611999988555908,3.19356
2018-02-28,3.612499952316284,3.1974661
2018-03-01,3.6157500743865967,3.2007248
2018-03-02,3.619999885559082,3.2026362
2018-03-05,3.620500087738037,3.2125328
2018-03-06,3.621999979019165,3.215326
2018-03-07,3.6227500438690186,3.221843
2018-03-08,3.625,3.2228012
2018-03-09,3.637500047683716,3.226693
2018-03-12,3.6397500038146977,3.2269173
2018-03-13,3.640500068664551,3.2286205
2018-03-14,3.641249895095825,3.2292542
2018-03-15,3.642250061035156,3.2369192
2018-03-16,3.64424991607666,3.2384496
2018-03-19,3.6594998836517334,3.2398677
2018-03-20,3.660249948501587,3.2409682
2018-03-21,3.6640000343322754,3.2483141
2018-03-22,3.676500082015991,3.2509103
2018-03-23,3.6847500801086426,3.251578
2018-03-26,3.684999942779541,3.2536635
2018-03-27,3.685499906539917,3.2540493
2018-03-28,3.686000108718872,3.2655988
2018-03-29,3.6887500286102295,3.2658727
2018-04-02,3.694000005722046,3.2681513
2018-04-03,3.70075011253357,3.2700992
2018-04-04,3.7074999809265137,3.2706437
2018-04-05,3.707750082015991,3.2756207
2018-04-06,3.7155001163482666,3.2765303
2018-04-09,3.722500085830689,3.2793598
2018-04-10,3.728250026702881,3.281189
2018-04-11,3.7290000915527344,3.2903955
2018-04-12,3.7300000190734863,3.2922943
2018-04-13,3.7422499656677246,3.2953446
2018-04-16,3.745500087738037,3.2961264
2018-04-17,3.7607500553131104,3.3026245
2018-04-18,3.7637500762939458,3.3037379
2018-04-19,3.7642500400543217,3.3062155
2018-04-20,3.76799988746643,3.3083823
2018-04-23,3.768749952316284,3.3146923
2018-04-24,3.770250082015991,3.3173397
2018-04-25,3.776750087738037,3.3186767
2018-04-26,3.777499914169311,3.321958
2018-04-27,3.7825000286102295,3.3271086
2018-04-30,3.784250020980835,3.3401887
2018-05-01,3.787499904632568,3.3411715
2018-05-02,3.791249990463257,3.3423073
2018-05-03,3.7939999103546143,3.345176
2018-05-04,3.795249938964844,3.3536181
2018-05-07,3.798500061035156,3.3542826
2018-05-08,3.8017499446868896,3.3635886
2018-05-09,3.8037500381469727,3.365668
2018-05-10,3.8127501010894775,3.3675082
2018-05-11,3.815999984741211,3.3679202
2018-05-14,3.8277499675750737,3.3695297
2018-05-15,3.828249931335449,3.371466
2018-05-16,3.8340001106262207,3.3736808
2018-05-17,3.838000059127808,3.377009
2018-05-18,3.847500085830689,3.3776367
2018-05-21,3.848000049591065,3.3779194
2018-05-22,3.848999977111816,3.38925
2018-05-23,3.862499952316284,3.3936117
2018-05-24,3.873500108718872,3.3960001
2018-05-25,3.875,3.4012785
2018-05-29,3.879499912261963,3.4102187
2018-05-30,3.89299988746643,3.4106014
2018-05-31,3.893749952316284,3.4136555
2018-06-01,3.900000095367432,3.415296
2018-06-04,3.902250051498413,3.4170568
2018-06-05,3.9035000801086426,3.420074
2018-06-06,3.9035000801086426,3.4207132
2018-06-07,3.910500049591065,3.4220493
2018-06-08,3.912499904632568,3.4298873
2018-06-11,3.921999931335449,3.4367535
2018-06-12,3.93274998664856,3.4412062
2018-06-13,3.9342501163482666,3.44889
2018-06-14,3.9352500438690186,3.452636
2018-06-15,3.941250085830689,3.456485
2018-06-18,3.941999912261963,3.4612277
2018-06-19,3.9452500343322754,3.463188
2018-06-20,3.9584999084472656,3.4687579
2018-06-21,3.962249994277954,3.4769197
2018-06-22,3.962500095367432,3.477987
2018-06-25,3.974999904632568,3.486398
2018-06-26,3.979749917984009,3.4937584
2018-06-27,3.98200011253357,3.4966943
2018-06-28,4.008500099182129,3.4967127
2018-06-29,4.015500068664551,3.5006692
2018-07-02,4.031499862670898,3.5012157
2018-07-03,4.037499904632568,3.5022876
2018-07-05,4.040249824523926,3.5044584
2018-07-06,4.040999889373779,3.5169976
2018-07-09,4.042500019073486,3.5190334
2018-07-10,4.058750152587891,3.5198715
2018-07-11,4.070499897003174,3.520407
