Date,Volume,Guess Volume
2018-08-03,243864000.0,3.844317
2018-08-06,243964000.0,3.845724
2018-08-07,244200000.0,3.848711
2018-08-08,244316000.0,3.8503747
2018-08-09,244416000.0,3.8515062
2018-08-10,244516000.0,3.8532403
2018-08-13,245215000.0,3.8627815
2018-08-14,245408000.0,3.8653836
2018-08-15,245476000.0,3.8664877
2018-08-16,245840000.0,3.871588
2018-08-17,245990000.0,3.8741853
2018-08-20,246587000.0,3.8823829
2018-08-21,246636000.0,3.883392
2018-08-22,246820000.0,3.8858736
2018-08-23,246988000.0,3.8883133
2018-08-24,248152100.0,3.9040804
2018-08-27,248160000.0,3.9043198
2018-08-28,248376000.0,3.9072292
2018-08-29,248555000.0,3.9095662
2018-08-30,248772300.0,3.9127638
2018-08-31,248863000.0,3.91437
2018-09-04,248978600.0,3.9159908
2018-09-05,249384000.0,3.9218907
2018-09-06,249712000.0,3.9268308
2018-09-07,249924000.0,3.929995
2018-09-10,250520000.0,3.93895
2018-09-11,251055000.0,3.9477813
2018-09-12,251112000.0,3.9487743
2018-09-13,251284000.0,3.9516563
2018-09-14,252507000.0,3.9714084
2018-09-17,252571700.0,3.9724138
2018-09-18,252680500.0,3.9743235
2018-09-19,253788000.0,3.9923844
2018-09-20,253792000.0,3.99298
2018-09-21,254408000.0,4.003515
2018-09-24,254434000.0,4.0043025
2018-09-25,254644000.0,4.0077777
2018-09-26,255112000.0,4.0161157
2018-09-27,255564000.0,4.024033
2018-09-28,255612000.0,4.025078
2018-10-01,255672000.0,4.026117
2018-10-02,256388000.0,4.038352
2018-10-03,256396000.0,4.038696
2018-10-04,256919000.0,4.0479007
2018-10-05,257883600.0,4.0651183
2018-10-08,258056000.0,4.068345
2018-10-09,258068900.0,4.068715
2018-10-10,258132000.0,4.069893
2018-10-11,258152000.0,4.0704017
2018-10-12,258572000.0,4.0784035
2018-10-15,258616000.0,4.079188
2018-10-16,258848000.0,4.0835605
2018-10-17,259850000.0,4.1020966
2018-10-18,259916000.0,4.1032066
2018-10-19,260704500.0,4.118016
2018-10-22,261868000.0,4.1403174
2018-10-23,262100000.0,4.144758
2018-10-24,262580000.0,4.154394
2018-10-25,262636000.0,4.155817
2018-10-26,263104000.0,4.164767
2018-10-29,263436000.0,4.170994
2018-10-30,264116000.0,4.1842995
2018-10-31,264484000.0,4.1921744
2018-11-01,265372000.0,4.2106485
2018-11-02,265524000.0,4.213897
2018-11-05,265740000.0,4.218408
2018-11-06,266284000.0,4.229695
2018-11-07,266530000.0,4.2349815
2018-11-08,267224000.0,4.249954
2018-11-09,268248000.0,4.272119
2018-11-12,268283700.0,4.2728186
2018-11-13,268548000.0,4.278587
2018-11-14,268726000.0,4.2826185
2018-11-15,268904000.0,4.286461
2018-11-16,269012000.0,4.288672
2018-11-19,269668000.0,4.3031497
2018-11-20,270156000.0,4.3136044
2018-11-21,271009200.0,4.332223
2018-11-23,271544000.0,4.343857
2018-11-26,271552000.0,4.343609
2018-11-27,271636000.0,4.345539
2018-11-28,271724000.0,4.347306
2018-11-29,271920000.0,4.3523083
2018-11-30,272128000.0,4.3567348
2018-12-03,272900000.0,4.3736157
2018-12-04,273424000.0,4.385017
2018-12-06,273500000.0,4.3867984
2018-12-07,273520000.0,4.386471
2018-12-10,273912000.0,4.394883
2018-12-11,274160000.0,4.400346
2018-12-12,274222000.0,4.4017134
2018-12-13,274756000.0,4.4136834
